NroLicitacionPublica;IdConvenioMarco;ConvenioMarco;CodigoOC;PorId;NombreOC;FechaEnvioOC;FechaCreacionGC;FechaInvitacion;FechaFinInvitacion;EstadoOC;IdGranCompra;RutUnidadCompra;UnidadCompra;RazonSocialComprador;DireccionUnidadCompra;ComunaUnidadCompra;Institucion;IdProductoCM;NombreProducto;TipoProducto;PrecioTienda;PrecioOfertaEspecial;DescuentoAplicado;CantidadFinal;PrecioOfertaFinal;Adjudicado;RazonSocialSucursal;NombreProveedor;RutProveedor
2239-14-LR23;5802353;Convenio  Marco  Licencias  de  Software  de  Ofimática;2392-574-CM24;51942053;Orden  de  Compra  generada  por  la  Gran  Compra:  74245;2025-01-08;2024-12-02;2024-12-02;2024-12-19;Aceptada;74245;69.254.900-7;SECRETARIA  DE  PLANIFICACIÓN;I  MUNICIPALIDAD  PEDRO  AGUIRRE  CERDA;Av.  Pdte.  Salvador  Allende  2029  (ex-Salesianos);Pedro  Aguirre  Cerda;I  MUNICIPALIDAD  PEDRO  AGUIRRE  CERDA;2040949;LICENCIA  GOOGLE  WORKSPACE  ENT  STD  FULL  AND  SECURITY  3  AÑOS  251  A  1000  USUARIOS  VALOR  ANUAL;LICENCIA;105;100;5;740;74236;No;ORION  2000  SPA;ORION  2000  SPA;96.899.890-0
2239-14-LR23;5802353;Convenio  Marco  Licencias  de  Software  de  Ofimática;2392-574-CM24;51942053;Orden  de  Compra  generada  por  la  Gran  Compra:  74245;2025-01-08;2024-12-02;2024-12-02;2024-12-19;Aceptada;74245;69.254.900-7;SECRETARIA  DE  PLANIFICACIÓN;I  MUNICIPALIDAD  PEDRO  AGUIRRE  CERDA;Av.  Pdte.  Salvador  Allende  2029  (ex-Salesianos);Pedro  Aguirre  Cerda;I  MUNICIPALIDAD  PEDRO  AGUIRRE  CERDA;2041061;LICENCIA  GOOGLE  WORKSPACE  ENT  STD  3  AÑOS  251  A  1000  USUARIOS  VALOR  ANUAL;LICENCIA;98;295;-200;740;218559;Si;TECNOLOGIA  BS  SPA;TECNOLOGIA  BS  SPA;76.852.815-2
2239-12-LR23;5802348;Convenio  Marco  para  la  adquisición  seguros  de  vida  con  adicional  de  salud;554476-4-CM24;51835276;Contratación  seguro  complementario  salud  vida  y  catastrófico  PLAN  ÚNICO  y  seguro  de  salud  dental;2025-01-03;2024-10-16;2024-10-16;2024-11-04;Recepción  Conforme;73686;65.290.590-0;Servicio  Bienestar  DNSC;DIRECCION  NACIONAL  DEL  SERVICIO  CIVIL;Morandé  115  piso  9;Santiago;DIRECCION  NACIONAL  DEL  SERVICIO  CIVIL;2035635;SEGURO  COLECTIVO  DE  VIDA  CON  ADICIONAL  DE  SALUD  Y  CATASTRÓFICO  -  PLAN  1  VALOR  PRIMA  MENSUAL;SEGURO  COLECTIVO  DE  VIDA  CON  ADICIONAL  DE  SALUD  Y  CATASTRÓFICO;0;0;0;2600;2516;Si;BCI  SEGUROS  VIDA  S  A;BCI  Seguros  Vida  S.A;96.573.600-K
2239-12-LR23;5802348;Convenio  Marco  para  la  adquisición  seguros  de  vida  con  adicional  de  salud;554476-4-CM24;51835276;Contratación  seguro  complementario  salud  vida  y  catastrófico  PLAN  ÚNICO  y  seguro  de  salud  dental;2025-01-03;2024-10-16;2024-10-16;2024-11-04;Recepción  Conforme;73686;65.290.590-0;Servicio  Bienestar  DNSC;DIRECCION  NACIONAL  DEL  SERVICIO  CIVIL;Morandé  115  piso  9;Santiago;DIRECCION  NACIONAL  DEL  SERVICIO  CIVIL;2035640;SEGURO  COLECTIVO  DENTAL  OPTATIVO  VALOR  PRIMA  MENSUAL;SEGURO  COLECTIVO  DE  VIDA  CON  ADICIONAL  DE  SALUD  Y  CATASTRÓFICO;0;0;0;2600;1092;Si;BCI  SEGUROS  VIDA  S  A;BCI  Seguros  Vida  S.A;96.573.600-K
